#time magniutde filter
23.0 19.4 r
23.0 18.45 u
23.0 20.3 y
23.0 20.07 z
24.0 18.92 g
24.0 19.8 i
24.0 19.42 r
24.0 18.47 u
24.0 20.31 y
24.0 20.09 z
25.0 18.93 g
25.0 19.81 i
25.0 19.43 r
25.0 18.48 u
25.0 20.32 y
25.0 20.1 z
26.0 18.95 g
26.0 19.82 i
26.0 19.44 r
26.0 18.49 u
26.0 20.34 y
26.0 20.11 z
27.0 18.96 g
27.0 19.83 i
27.0 19.45 r
27.0 18.5 u
27.0 20.35 y
27.0 20.12 z
28.0 18.97 g
28.0 19.85 i
28.0 19.47 r
28.0 18.52 u
28.0 20.36 y
28.0 20.14 z
29.0 18.99 g
29.0 19.86 i
29.0 19.48 r
29.0 18.53 u
29.0 20.38 y
29.0 20.15 z
30.0 19.0 g
30.0 19.88 i
30.0 19.5 r
30.0 18.54 u
30.0 20.39 y
30.0 20.17 z
31.0 19.02 g
31.0 19.89 i
31.0 19.51 r
31.0 18.56 u
31.0 20.41 y
31.0 20.18 z
32.0 19.03 g
32.0 19.91 i
32.0 19.53 r
32.0 18.57 u
32.0 20.43 y
32.0 20.2 z
33.0 19.05 g
33.0 19.92 i
33.0 19.54 r
33.0 18.59 u
33.0 20.44 y
33.0 20.22 z
34.0 19.06 g
34.0 19.94 i
34.0 19.56 r
34.0 18.61 u
34.0 20.46 y
34.0 20.23 z
35.0 19.08 g
35.0 19.96 i
35.0 19.58 r
35.0 18.62 u
35.0 20.47 y
35.0 20.25 z
36.0 19.1 g
36.0 19.97 i
36.0 19.59 r
36.0 18.64 u
36.0 20.49 y
36.0 20.27 z
37.0 19.11 g
37.0 19.99 i
37.0 19.61 r
37.0 18.65 u
37.0 20.51 y
37.0 20.28 z
38.0 19.13 g
38.0 20.01 i
38.0 19.63 r
38.0 18.67 u
38.0 20.53 y
38.0 20.3 z
39.0 19.15 g
39.0 20.03 i
39.0 19.65 r
39.0 18.69 u
39.0 20.54 y
39.0 20.32 z
40.0 19.16 g
40.0 20.04 i
40.0 19.66 r
40.0 18.7 u
40.0 20.56 y
40.0 20.34 z
41.0 19.18 g
41.0 20.06 i
41.0 19.68 r
41.0 18.72 u
41.0 20.58 y
41.0 20.35 z
42.0 19.2 g
42.0 20.08 i
42.0 19.7 r
42.0 18.74 u
42.0 20.6 y
42.0 20.37 z
43.0 19.22 g
43.0 20.1 i
43.0 19.72 r
43.0 18.76 u
43.0 20.62 y
43.0 20.39 z
44.0 19.24 g
44.0 20.12 i
44.0 19.74 r
44.0 18.77 u
44.0 20.64 y
44.0 20.41 z
45.0 19.25 g
45.0 20.14 i
45.0 19.75 r
45.0 18.79 u
45.0 20.66 y
45.0 20.43 z
46.0 19.27 g
46.0 20.16 i
46.0 19.77 r
46.0 18.81 u
46.0 20.67 y
46.0 20.45 z
47.0 19.29 g
47.0 20.17 i
47.0 19.79 r
47.0 18.83 u
47.0 20.69 y
47.0 20.47 z
48.0 19.31 g
48.0 20.19 i
48.0 19.81 r
48.0 18.85 u
48.0 20.71 y
48.0 20.48 z
49.0 19.33 g
49.0 20.21 i
49.0 19.83 r
49.0 18.86 u
49.0 20.73 y
49.0 20.5 z
50.0 19.35 g
50.0 20.23 i
50.0 19.85 r
50.0 18.88 u
50.0 20.75 y
50.0 20.52 z
51.0 19.36 g
51.0 20.25 i
51.0 19.87 r
51.0 18.9 u
51.0 20.77 y
51.0 20.54 z
52.0 19.38 g
52.0 20.27 i
52.0 19.88 r
52.0 18.92 u
52.0 20.79 y
52.0 20.56 z
53.0 19.4 g
53.0 20.29 i
53.0 19.9 r
53.0 18.94 u
53.0 20.81 y
53.0 20.58 z
54.0 19.42 g
54.0 20.31 i
54.0 19.92 r
54.0 18.96 u
54.0 20.83 y
54.0 20.6 z
55.0 19.44 g
55.0 20.32 i
55.0 19.94 r
55.0 18.97 u
55.0 20.84 y
55.0 20.62 z
56.0 19.46 g
56.0 20.34 i
56.0 19.96 r
56.0 18.99 u
56.0 20.86 y
56.0 20.64 z
57.0 19.47 g
57.0 20.36 i
57.0 19.98 r
57.0 19.01 u
57.0 20.88 y
57.0 20.65 z
58.0 19.49 g
58.0 20.38 i
58.0 20.0 r
58.0 19.03 u
58.0 20.9 y
